"","Sample","# ARG","# mobileARG_2","Stage","val"
"MG100133","MG100133",40,0,"CRC",0
"MG100134","MG100134",81,0,"CRC",0
"MG100136","MG100136",26,0,"CRC",0
"MG100137","MG100137",90,10,"CRC",10
"MG100138","MG100138",32,0,"CRC",0
"MG100139","MG100139",95,0,"CRC",0
"MG100140","MG100140",20,0,"CRC",0
"MG100141","MG100141",83,1,"CRC",1
"MG100143","MG100143",26,1,"CRC",1
"MG100144","MG100144",31,0,"CRC",0
"MG100145","MG100145",62,1,"CRC",1
"MG100146","MG100146",21,0,"CRC",0
"MG100147","MG100147",104,6,"CRC",6
"MG100148","MG100148",57,1,"CRC",1
"MG100149","MG100149",17,0,"CRC",0
"MG100151","MG100151",24,0,"CRC",0
"MG100156","MG100156",21,0,"CTRL",0
"MG100157","MG100157",25,1,"CTRL",1
"MG100158","MG100158",103,1,"CTRL",1
"MG100159","MG100159",20,0,"CTRL",0
"MG100161","MG100161",70,0,"CTRL",0
"MG100165","MG100165",47,2,"CTRL",2
"MG100166","MG100166",32,0,"CTRL",0
"MG100167","MG100167",23,0,"CTRL",0
"MG100168","MG100168",89,0,"CTRL",0
"MG100170","MG100170",14,0,"CTRL",0
"MG100171","MG100171",31,0,"CTRL",0
"MG100172","MG100172",16,1,"CTRL",1
"MG100173","MG100173",86,1,"CTRL",1
"MG100174","MG100174",25,0,"CTRL",0
"MG100175","MG100175",31,0,"CTRL",0
"MG100176","MG100176",22,0,"CTRL",0
"MG100177","MG100177",16,0,"CTRL",0
"MG100178","MG100178",47,0,"CTRL",0
"MG100179","MG100179",42,4,"CTRL",4
"MG100180","MG100180",43,0,"CTRL",0
"GF15","GF15",135,5,"CRC",5
"SBJ01C","SBJ01C",153,11,"CRC",11
"SBJ02C","SBJ02C",99,5,"CRC",5
"SBJ04C","SBJ04C",75,3,"CRC",3
"SBJ05C","SBJ05C",84,7,"CRC",7
"SBJ06C","SBJ06C",182,12,"CRC",12
"SBJ07C","SBJ07C",102,7,"CRC",7
"SBJ10C","SBJ10C",93,8,"CRC",8
"SBJ11C","SBJ11C",144,10,"CRC",10
"SBJ12C","SBJ12C",79,12,"CRC",12
"SBJ20C","SBJ20C",170,8,"CRC",8
"SBJ22C","SBJ22C",58,3,"CRC",3
"SBJ25C","SBJ25C",138,7,"CRC",7
"SBJ26C","SBJ26C",94,9,"CRC",9
"SBJ27C","SBJ27C",80,6,"CRC",6
"SBJ29C","SBJ29C",100,1,"CRC",1
"SBJ31C","SBJ31C",55,2,"CRC",2
"SBJ32C","SBJ32C",85,1,"CRC",1
"SBJ33C","SBJ33C",95,5,"CRC",5
"SBJ35C","SBJ35C",80,3,"CRC",3
"SBJ36C","SBJ36C",134,9,"CRC",9
"SBJ39C","SBJ39C",68,5,"CRC",5
"SBJ40C","SBJ40C",118,6,"CRC",6
"SBJ42C","SBJ42C",190,20,"CRC",20
"SBJ47C","SBJ47C",80,3,"CRC",3
"SBJ49C","SBJ49C",91,7,"CRC",7
"SBJ50C","SBJ50C",90,3,"CRC",3
